t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.6048024012,1.8361643161,-0.6975220134,1.0290894311,1.7144189619,-0.9031422091,1.0479404176
0.6053026513,1.8387948085,-0.6971357375,1.0308405106,1.5848882728,-1.0389966671,1.0493870620
0.6058029015,1.8414230665,-0.6967491752,1.0325917594,1.2910298607,-0.9539698296,1.0508337063
0.6063031516,1.8440490783,-0.6963623273,1.0343431718,0.9721855462,-0.7609140975,1.0522803507
0.6068034017,1.8466728319,-0.6959751944,1.0360947423,0.7676971504,-0.7636569983,1.0537269951
0.6073036518,1.8492943153,-0.6955877773,1.0378464651,2.3722206287,-0.6751320170,1.0551736395
0.6078039020,1.8519135167,-0.6952000765,1.0395983347,1.3289536394,-0.4659633404,1.0566202838
0.6083041521,1.8545304241,-0.6948120929,1.0413503454,0.9948188420,-0.3493102893,1.0580669282
0.6088044022,1.8571450258,-0.6944238270,1.0431024916,0.8241913192,-0.4855152832,1.0595135726
0.6093046523,1.8597573099,-0.6940352795,1.0448547676,0.7630718878,-0.7499104295,1.0609602170
0.6098049025,1.8623672645,-0.6936464512,1.0466071678,0.9690050742,-1.0554530924,1.0624068613
0.6103051526,1.8649748780,-0.6932573427,1.0483596866,2.5760058636,-1.0106762457,1.0638535057
0.6108054027,1.8675801384,-0.6928679547,1.0501123183,2.2843442304,-0.9016223017,1.0653001501
0.6113056528,1.8701830341,-0.6924782879,1.0518650572,1.6411312777,-0.7605031410,1.0667467944
0.6118059030,1.8727835533,-0.6920883430,1.0536178978,1.0132561020,-0.4610919190,1.0681934388
0.6123061531,1.8753816843,-0.6916981206,1.0553708344,0.7857688751,-0.3948110786,1.0696400832
0.6128064032,1.8779774155,-0.6913076214,1.0571238613,1.7905513369,-0.7059495582,1.0710867276
0.6133066533,1.8805707351,-0.6909168462,1.0588769730,2.2622351557,-0.8609721739,1.0725333719
0.6138069035,1.8831616316,-0.6905257956,1.0606301636,2.5411366534,-0.9712360730,1.0739800163
0.6143071536,1.8857500932,-0.6901344702,1.0623834277,2.1605668275,-1.0409901544,1.0754266607
0.6148074037,1.8883361085,-0.6897428708,1.0641367596,0.8283006996,-0.7742569618,1.0768733051
0.6153076538,1.8909196657,-0.6893509981,1.0658901536,1.6284373670,-0.7748388496,1.0783199494
0.6158079040,1.8935007535,-0.6889588527,1.0676436040,2.0190978573,-0.7757458301,1.0797665938
0.6163081541,1.8960793602,-0.6885664354,1.0693971053,2.3016532952,-0.7765366862,1.0812132382
0.6168084042,1.8986554743,-0.6881737468,1.0711506518,2.4884892089,-0.6242579924,1.0826598826
0.6173086543,1.9012290844,-0.6877807875,1.0729042378,2.5737828475,-0.3620595961,1.0841065269
0.6178089045,1.9038001790,-0.6873875584,1.0746578576,1.3592511924,-0.4159425616,1.0855531713
0.6183091546,1.9063687466,-0.6869940600,1.0764115057,1.6254448666,-0.5135928315,1.0869998157
0.6188094047,1.9089347758,-0.6866002931,1.0781651764,1.3953862259,-0.6540546949,1.0884464601
0.6193096548,1.9114982553,-0.6862062584,1.0799188641,1.0951047797,-0.9223081266,1.0898931044
0.6198099050,1.9140591736,-0.6858119565,1.0816725630,0.8530061700,-0.9691655139,1.0913397488
0.6203101551,1.9166175195,-0.6854173881,1.0834262676,1.5202192212,-0.6608400914,1.0927863932
0.6208104052,1.9191732815,-0.6850225540,1.0851799722,1.6676646116,-0.3882060223,1.0942330376
0.6213106553,1.9217264485,-0.6846274547,1.0869336711,1.6657399004,-0.6902832464,1.0956796819
0.6218109055,1.9242770091,-0.6842320910,1.0886873587,1.6652894240,-0.7960102835,1.0971263263
0.6223111556,1.9268249520,-0.6838364636,1.0904410294,1.6651336082,-0.8722949367,1.0985729707
0.6228114057,1.9293702661,-0.6834405732,1.0921946775,1.6640928789,-0.9735774142,1.1000196151
0.6233116558,1.9319129401,-0.6830444205,1.0939482973,0.7911502352,-1.0456842945,1.1014662594
0.6238119060,1.9344529628,-0.6826480061,1.0957018832,1.8393737935,-0.9388165758,1.1029129038
0.6243121561,1.9369903232,-0.6822513307,1.0974554296,2.5706708171,-0.6979725209,1.1043595482
0.6248124062,1.9395250100,-0.6818543951,1.0992089308,2.1847847261,-0.5100378930,1.1058061926
0.6253126563,1.9420570122,-0.6814571999,1.1009623812,1.5264267971,-0.3783896916,1.1072528369
0.6258129065,1.9445863186,-0.6810597458,1.1027157751,0.9542417052,-0.4026507216,1.1086994813
0.6263131566,1.9471129183,-0.6806620335,1.1044691068,0.9561278630,-0.7201638812,1.1101461257
0.6268134067,1.9496368001,-0.6802640637,1.1062223708,1.9245413089,-0.8727715978,1.1115927701
0.6273136568,1.9521579532,-0.6798658371,1.1079755614,2.5057028280,-0.9768175493,1.1130394144
0.6278139070,1.9546763664,-0.6794673543,1.1097286729,2.3645431422,-1.0413811037,1.1144860588
0.6283141571,1.9571920288,-0.6790686162,1.1114816997,1.3996142818,-0.6657411812,1.1159327032
0.6288144072,1.9597049295,-0.6786696233,1.1132346361,0.8048788657,-0.4215461652,1.1173793476
0.6293146573,1.9622150576,-0.6782703763,1.1149874765,1.7062368408,-0.3555084892,1.1188259919
0.6298149075,1.9647224023,-0.6778708760,1.1167402153,2.1924141842,-0.7887655259,1.1202726363
0.6303151576,1.9672269525,-0.6774711231,1.1184928468,2.5164898246,-0.7963782300,1.1217192807
0.6308154077,1.9697286976,-0.6770711181,1.1202453654,2.4069163952,-0.7967560685,1.1231659251
0.6313156578,1.9722276267,-0.6766708619,1.1219977654,0.9430876727,-0.7974709085,1.1246125694
0.6318159080,1.9747237290,-0.6762703552,1.1237500413,1.5666810785,-0.8677507996,1.1260592138
0.6323161581,1.9772169937,-0.6758695985,1.1255021872,1.5656959214,-1.0291663906,1.1275058582
0.6328164082,1.9797074102,-0.6754685926,1.1272541977,1.3307505761,-1.0034339185,1.1289525026
0.6333166583,1.9821949678,-0.6750673383,1.1290060671,1.0538292375,-0.5835826457,1.1303991469
0.6338169085,1.9846796557,-0.6746658361,1.1307577897,0.8538418092,-0.4292132807,1.1318457913
0.6343171586,1.9871614633,-0.6742640869,1.1325093599,2.3404339298,-0.6469526550,1.1332924357
0.6348174087,1.9896403799,-0.6738620912,1.1342607721,1.4001400934,-0.7995397245,1.1347390801
0.6353176588,1.9921163951,-0.6734598498,1.1360120206,1.0967262869,-0.8040758898,1.1361857244
0.6358179090,1.9945894982,-0.6730573634,1.1377630998,0.9215619506,-0.8043872569,1.1376323688
0.6363181591,1.9970596786,-0.6726546326,1.1395140042,0.8426360562,-0.8050493465,1.1390790132
0.6368184092,1.9995269259,-0.6722516583,1.1412647279,0.8872550070,-1.0506429963,1.1405256576
0.6373186593,2.0019912295,-0.6718484410,1.1430152655,2.0001273655,-0.7956597022,1.1419723019
0.6378189095,2.0044525790,-0.6714449814,1.1447656112,2.5225432668,-0.4319337497,1.1434189463
0.6383191596,2.0069109640,-0.6710412803,1.1465157595,1.9582696835,-0.4624432449,1.1448655907
0.6388194097,2.0093663740,-0.6706373384,1.1482657048,1.2337642492,-0.8084206162,1.1463122351
0.6393196598,2.0118187986,-0.6702331563,1.1500154413,0.8377121340,-0.8098001866,1.1477588794
0.6398199100,2.0142682276,-0.6698287348,1.1517649636,1.6265598956,-0.8107300531,1.1492055238
0.6403201601,2.0167146505,-0.6694240746,1.1535142659,2.2676737488,-0.9111002435,1.1506521682
0.6408204102,2.0191580570,-0.6690191762,1.1552633426,2.5974659136,-1.0508294862,1.1520988126
0.6413206603,2.0215984370,-0.6686140406,1.1570121882,1.9333709851,-0.9530446489,1.1535454569
0.6418209105,2.0240357801,-0.6682086682,1.1587607970,0.9526928452,-0.4472212588,1.1549921013
0.6423211606,2.0264700761,-0.6678030599,1.1605091634,1.3997801761,-0.4016425259,1.1564387457
0.6428214107,2.0289013148,-0.6673972164,1.1622572818,1.9016794354,-0.5375767595,1.1578853901
0.6433216608,2.0313294862,-0.6669911383,1.1640051465,2.2267599449,-0.7031001027,1.1593320344
0.6438219110,2.0337545799,-0.6665848263,1.1657527520,2.4592431568,-0.8362938326,1.1607786788
0.6443221611,2.0361765860,-0.6661782812,1.1675000926,2.5823731015,-0.9624236799,1.1622253232
0.6448224112,2.0385954943,-0.6657715036,1.1692471628,1.1245605735,-1.0460151135,1.1636719676
0.6453226613,2.0410112948,-0.6653644943,1.1709939569,1.5823876757,-0.7906346809,1.1651186119
0.6458229115,2.0434239774,-0.6649572538,1.1727404693,1.4101934066,-0.3622556159,1.1665652563
0.6463231616,2.0458335323,-0.6645497831,1.1744866945,1.1602039900,-0.8203855420,1.1680119007
0.6468234117,2.0482399493,-0.6641420826,1.1762326268,0.9403875578,-0.8223128541,1.1694585451
0.6473236618,2.0506432186,-0.6637341532,1.1779782606,0.9272997996,-0.8228959593,1.1709051894
0.6478239120,2.0530433303,-0.6633259956,1.1797235903,1.4165357192,-0.8231692156,1.1723518338
0.6483241621,2.0554402745,-0.6629176104,1.1814686104,0.9194445690,-0.8237495154,1.1737984782
0.6488244122,2.0578340413,-0.6625089983,1.1832133152,0.8878214185,-0.9066665703,1.1752451226
0.6493246623,2.0602246209,-0.6621001601,1.1849576992,1.1144475297,-0.9980910829,1.1766917669
0.6498249125,2.0626120035,-0.6616910964,1.1867017568,1.4196124339,-0.7006168002,1.1781384113
0.6503251626,2.0649961794,-0.6612818080,1.1884454823,1.5892751752,-0.4060700138,1.1795850557
0.6508254127,2.0673771388,-0.6608722955,1.1901888702,0.8925138836,-0.5666488466,1.1810317001
0.6513256628,2.0697548720,-0.6604625597,1.1919319150,2.5721725901,-0.8749525807,1.1824783444
0.6518259130,2.0721293693,-0.6600526012,1.1936746109,2.4021747555,-0.9611443734,1.1839249888
0.6523261631,2.0745006212,-0.6596424208,1.1954169525,2.1131412474,-1.0170461119,1.1853716332
0.6528264132,2.0768686179,-0.6592320192,1.1971589342,1.7348052767,-1.0442166342,1.1868182776
0.6533266633,2.0792333499,-0.6588213970,1.1989005504,0.9952589172,-0.8884340702,1.1882649219
0.6538269135,2.0815948076,-0.6584105550,1.2006417956,1.4423770943,-0.7168174842,1.1897115663
0.6543271636,2.0839529815,-0.6579994939,1.2023826641,2.2394859920,-0.3663677728,1.1911582107
0.6548274137,2.0863078622,-0.6575882144,1.2041231504,2.5834740637,-0.4238025987,1.1926048551
0.6553276638,2.0886594401,-0.6571767171,1.2058632489,1.9112592554,-0.5924128752,1.1940514994
0.6558279140,2.0910077058,-0.6567650028,1.2076029541,1.0584338670,-0.7781706439,1.1954981438
0.6563281641,2.0933526498,-0.6563530722,1.2093422604,1.1843556004,-0.9290057225,1.1969447882
0.6568284142,2.0956942630,-0.6559409260,1.2110811623,1.9008418910,-1.0437138621,1.1983914326
0.6573286643,2.0980325357,-0.6555285649,1.2128196542,2.4245775350,-0.8866772775,1.1998380769
0.6578289145,2.1003674589,-0.6551159897,1.2145577306,2.5793952775,-0.5327282037,1.2012847213
0.6583291646,2.1026990231,-0.6547032009,1.2162953859,1.5215892434,-0.4320121975,1.2027313657
0.6588294147,2.1050272191,-0.6542901993,1.2180326145,0.9662939851,-0.9121429561,1.2041780101
0.6593296648,2.1073520378,-0.6538769857,1.2197694109,1.6826164253,-0.9821214500,1.2056246544
0.6598299150,2.1096734698,-0.6534635607,1.2215057697,2.0717624461,-1.0223499651,1.2070712988
0.6603301651,2.1119915061,-0.6530499250,1.2232416851,2.3795674321,-1.0405380632,1.2085179432
0.6608304152,2.1143061374,-0.6526360794,1.2249771518,2.5691720440,-0.9984220615,1.2099645876
0.6613306653,2.1166173548,-0.6522220245,1.2267121642,1.0714802347,-0.6272971637,1.2114112319
0.6618309155,2.1189251492,-0.6518077611,1.2284467167,1.5505538154,-0.4427094847,1.2128578763
0.6623311656,2.1212295114,-0.6513932898,1.2301808038,1.3923836101,-0.3648929006,1.2143045207
0.6628314157,2.1235304326,-0.6509786114,1.2319144201,1.0984104835,-0.5447973332,1.2157511651
0.6633316658,2.1258279036,-0.6505637266,1.2336475599,0.9160592823,-0.8382509576,1.2171978094
0.6638319160,2.1281219157,-0.6501486361,1.2353802178,1.1469676456,-0.8837163843,1.2186444538
0.6643321661,2.1304124598,-0.6497333406,1.2371123882,1.5185743997,-0.9769756436,1.2200910982
0.6648324162,2.1326995271,-0.6493178407,1.2388440657,0.9662500358,-1.0415182214,1.2215377426
0.6653326663,2.1349831087,-0.6489021373,1.2405752447,2.5604188861,-0.9922551552,1.2229843869
0.6658329165,2.1372631959,-0.6484862310,1.2423059197,2.3806347279,-0.8555344153,1.2244310313
0.6663331666,2.1395397798,-0.6480701225,1.2440360853,2.0987350000,-0.5834468677,1.2258776757
0.6668334167,2.1418128517,-0.6476538126,1.2457657359,1.7430059921,-0.3642054865,1.2273243201
0.6673336668,2.1440824028,-0.6472373019,1.2474948661,1.1628795891,-0.9811679627,1.2287709644
0.6678339170,2.1463484245,-0.6468205911,1.2492234703,1.0199495294,-1.0332433195,1.2302176088
0.6683341671,2.1486109082,-0.6464036810,1.2509515430,1.6059496225,-1.0411316676,1.2316642532
0.6688344172,2.1508698451,-0.6459865723,1.2526790789,2.4735022477,-0.7395760436,1.2331108976
0.6693346673,2.1531252268,-0.6455692657,1.2544060723,1.8182282402,-0.5706241141,1.2345575419
0.6698349175,2.1553770446,-0.6451517618,1.2561325178,1.1306331707,-0.4496445431,1.2360041863
0.6703351676,2.1576252900,-0.6447340615,1.2578584101,1.0447052175,-0.3805660292,1.2374508307
0.6708354177,2.1598699545,-0.6443161654,1.2595837434,1.8688373257,-0.8932125807,1.2388974751
0.6713356678,2.1621110298,-0.6438980742,1.2613085125,2.6168897192,-1.0201288874,1.2403441194
0.6718359180,2.1643485072,-0.6434797886,1.2630327119,2.1978745365,-0.9492261487,1.2417907638
0.6723361681,2.1665823785,-0.6430613094,1.2647563360,1.3723760097,-0.8628642423,1.2432374082
0.6728364182,2.1688126352,-0.6426426372,1.2664793794,0.9474553299,-0.8643819758,1.2446840526
0.6733366683,2.1710392691,-0.6422237728,1.2682018368,1.4806793912,-0.8574195318,1.2461306969
0.6738369185,2.1732622719,-0.6418047168,1.2699237026,0.9891753396,-0.7027563920,1.2475773413
0.6743371686,2.1754816352,-0.6413854701,1.2716449713,1.6654688569,-0.4804689970,1.2490239857
0.6748374187,2.1776973509,-0.6409660333,1.2733656376,2.4719820080,-0.3662628946,1.2504706301
0.6753376688,2.1799094107,-0.6405464070,1.2750856961,2.2544488250,-0.8677033171,1.2519172744
0.6758379190,2.1821178066,-0.6401265921,1.2768051412,1.3192025458,-0.8708782847,1.2533639188
0.6763381691,2.1843225303,-0.6397065893,1.2785239675,0.9630069765,-0.8714983118,1.2548105632
0.6768384192,2.1865235737,-0.6392863991,1.2802421697,1.4928613582,-0.8717913251,1.2562572076
0.6773386693,2.1887209289,-0.6388660225,1.2819597423,1.3106289912,-0.8720392236,1.2577038519
0.6778389195,2.1909145877,-0.6384454600,1.2836766799,1.0370153282,-0.8725239063,1.2591504963
0.6783391696,2.1931045423,-0.6380247124,1.2853929771,1.6131347664,-0.8734615057,1.2605971407
0.6788394197,2.1952907845,-0.6376037805,1.2871086284,2.4751133636,-0.5718407150,1.2620437851
0.6793396698,2.1974733065,-0.6371826648,1.2888236285,1.6432619502,-0.4322826522,1.2634904294
0.6798399200,2.1996521004,-0.6367613661,1.2905379720,0.9943241350,-0.6483603967,1.2649370738
0.6803401701,2.2018271583,-0.6363398852,1.2922516534,1.2385028098,-0.8448922113,1.2663837182
0.6808404202,2.2039984725,-0.6359182228,1.2939646674,1.7978577194,-0.8793174357,1.2678303625
0.6813406703,2.2061660350,-0.6354963795,1.2956770086,2.5308386153,-0.8797414328,1.2692770069
0.6818409205,2.2083298382,-0.6350743561,1.2973886717,2.2547878111,-0.8808263337,1.2707236513
0.6823411706,2.2104898744,-0.6346521534,1.2990996511,1.1467473068,-1.0248154855,1.2721702957
0.6828414207,2.2126461357,-0.6342297719,1.3008099416,1.3487187882,-0.9509260177,1.2736169400
0.6833416708,2.2147986147,-0.6338072124,1.3025195378,1.0506403195,-0.3732531647,1.2750635844
0.6838419210,2.2169473036,-0.6333844757,1.3042284343,1.2027015022,-0.4206587770,1.2765102288
0.6843421711,2.2190921949,-0.6329615625,1.3059366258,1.8021543361,-0.5215847907,1.2779568732
0.6848424212,2.2212332811,-0.6325384734,1.3076441069,2.4071188221,-0.6795733848,1.2794035175
0.6853426713,2.2233705545,-0.6321152093,1.3093508722,2.2079673876,-0.9081844866,1.2808501619
0.6858429215,2.2255040078,-0.6316917707,1.3110569164,1.1194176203,-0.6631789019,1.2822968063
0.6863431716,2.2276336334,-0.6312681584,1.3127622342,1.4129953192,-0.4542446520,1.2837434507
0.6868434217,2.2297594241,-0.6308443732,1.3144668202,1.1048821191,-0.3731187610,1.2851900950
0.6873436718,2.2318813723,-0.6304204158,1.3161706691,1.2059816324,-0.5806743287,1.2866367394
0.6878439220,2.2339994708,-0.6299962868,1.3178737756,1.8369717294,-1.0024040747,1.2880833838
0.6883441721,2.2361137122,-0.6295719870,1.3195761343,2.4571115512,-0.9471523513,1.2895300282
0.6888444222,2.2382240893,-0.6291475171,1.3212777400,2.3831032027,-0.8952755133,1.2909766725
0.6893446723,2.2403305949,-0.6287228778,1.3229785872,1.2075814109,-0.8954819414,1.2924233169
0.6898449225,2.2424332216,-0.6282980698,1.3246786707,1.1049806951,-0.8961708817,1.2938699613
0.6903451726,2.2445319625,-0.6278730939,1.3263779853,1.4251795228,-0.8976252459,1.2953166057
0.6908454227,2.2466268103,-0.6274479508,1.3280765255,1.3346828532,-0.3730213634,1.2967632500
0.6913456728,2.2487177579,-0.6270226412,1.3297742861,2.2823659537,-0.4862177607,1.2982098944
0.6918459230,2.2508047984,-0.6265971658,1.3314712619,2.5975370470,-0.7039330247,1.2996565388
0.6923461731,2.2528879246,-0.6261715253,1.3331674474,2.0332376381,-0.9185141732,1.3011031832
0.6928464232,2.2549671295,-0.6257457204,1.3348628375,1.0611210717,-1.0223082240,1.3025498275
0.6933466733,2.2570424063,-0.6253197519,1.3365574269,1.3082045119,-0.9668746375,1.3039964719
0.6938469235,2.2591137481,-0.6248936205,1.3382512103,1.2103755566,-0.8250158737,1.3054431163
0.6943471736,2.2611811478,-0.6244673268,1.3399441824,1.0576657210,-0.5318079224,1.3068897607
0.6948474237,2.2632445987,-0.6240408717,1.3416363380,1.1521153654,-0.3773243081,1.3083364050
